Código,Nome,Município,Área,Total de Famílias,Total Famílias 2,Fase,Tipo,Número,Data da Criação,Obtenção,Data da Obtenção,Município IBGE
MT0696000,PE BARREIRO E CANINANA,NOSSA SENHORA DO LIVRAMENTO,"1.187,30",97,100,4,3,125,18/12/2003,Reconhecimento,10/12/2003,Nossa Senhora Do Livramento
MT0697000,PE ATERRADO,NOSSA SENHORA DO LIVRAMENTO,"384,5571",21,24,3,3,127,18/12/2003,Reconhecimento,18/12/2003,Nossa Senhora Do Livramento
MT0698000,PE BURITI DO ATALHO,NOSSA SENHORA DO LIVRAMENTO,"877,3244",30,31,4,3,126,18/12/2003,Reconhecimento,10/12/2003,Nossa Senhora Do Livramento
MT0699000,PAR 07 DE SETEMBRO,RONDOLANDIA,"226.629,76",214,500,4,10,2,11/01/1982,Arrecadação,11/01/1982,Rondolândia
MT0700000,PE JACARE,NOSSA SENHORA DO LIVRAMENTO,"627,0523",75,73,3,3,5,17/02/2004,Reconhecimento,17/02/2004,Nossa Senhora Do Livramento
MT0702000,PA FREI SERVACIO SCHULT,PEDRA PRETA,"1.043,70",35,35,3,1,10/04,29/03/2004,Desapropriação,25/03/2004,Pedra Preta
MT0703000,PA SÃO BENTO,DOM AQUINO,"1.396,68",40,40,3,1,11,29/03/2004,Desapropriação,25/02/2003,Dom Aquino
MT0704000,PA VALE DO PRATA,PEDRA PRETA,"3.282,20",100,100,3,1,12,29/03/2004,Desapropriação,26/03/2002,Pedra Preta
MT0705000,PA NOSSA SENHORA APARECIDA I,VARZEA GRANDE,"4.205,78",140,140,4,1,20,04/06/2004,Desapropriação,23/06/2003,Várzea Grande
MT0706000,PA SANTA LUCIA,RIBEIRAO CASCALHEIRA,"9.140,39",126,153,3,1,21,04/06/2004,Desapropriação,14/07/1997,Ribeirão Cascalheira
MT0707000,PE PIUVAL,POCONE,"851,5094",21,35,3,3,22,21/06/2004,Reconhecimento,22/06/2004,Poconé
MT0708000,PE MORRO CORTADO,POCONE,"1.007,95",45,49,4,3,23,21/06/2004,Reconhecimento,21/06/2004,Poconé
MT0709000,PE CAPÃO VERDE I,POCONE,"225,572",14,14,3,3,24,21/06/2004,Reconhecimento,21/06/2004,Poconé
MT0710000,PE BURITI FUNDO,BARRA DO BUGRES,"707,6735",31,31,4,3,25,21/06/2004,Reconhecimento,21/06/2004,Barra Do Bugres
MT0711000,PE ÁGUA VERMELHA,POCONE,"367,256",49,55,4,3,26,21/06/2004,Reconhecimento,10/12/2003,Poconé
MT0712000,PE BARRANCO ALTO,SANTO ANTONIO DO LEVERGER,"939,3452",100,100,4,3,27,21/02/2004,Reconhecimento,21/02/2004,Santo Antônio Do Leverger
MT0713000,PE FAZENDA PANTANALZINHO,SANTO ANTONIO DO LEVERGER,"336,0901",84,85,4,3,28,21/06/2004,Reconhecimento,21/06/2004,Santo Antônio Do Leverger
MT0714000,PE BARRA DO ARICA,SANTO ANTONIO DO LEVERGER,"594,0334",36,40,4,3,29,21/06/2004,Reconhecimento,21/06/2004,Santo Antônio Do Leverger
MT0715000,PE PANTANALZINHO,POCONE,"85,408",16,17,3,3,30,21/02/2004,Reconhecimento,21/02/2004,Poconé
MT0716000,PE COXOS,NOSSA SENHORA DO LIVRAMENTO,"1.209,68",103,115,3,3,31,21/06/2004,Reconhecimento,21/06/2004,Nossa Senhora Do Livramento
MT0717000,PE XAFARIS,POCONE,"703,491",19,19,4,3,32,21/06/2004,Reconhecimento,21/06/2004,Poconé
MT0718000,PE COLONIA FIGUEIRA I E II,POCONE,"2.403,59",93,98,3,3,33,21/06/2004,Reconhecimento,21/06/2004,Poconé
MT0719000,PA FLOR DA MATA,CACERES,"1.187,07",21,30,4,1,39,02/08/2004,Arrecadação,25/01/1994,Cáceres
MT0720000,PA SANTA FILOMENA,POCONE,"2.534,40",134,112,3,1,41,10/09/2004,Desapropriação,08/11/2002,Poconé
MT0721000,PA FLORESTA,ARAPUTANGA,"2.420,00",87,91,3,1,43,16/09/2004,Reversão de Domínio,14/05/2002,Araputanga
MT0722000,PA ALEGRE,PONTES E LACERDA,"1.150,00",6,7,3,1,51/04,28/11/2004,Arrecadação,28/11/2004,Pontes E Lacerda
MT0723000,PA VIDA NOVA,PEIXOTO DE AZEVEDO,"16.293,91",143,162,3,1,57,13/12/2004,Arrecadação,13/12/2004,Peixoto De Azevedo
MT0724000,PA ALIANÇA,NOVO MUNDO,"1.066,54",22,27,3,1,2,04/02/2005,Arrecadação,04/02/2005,Novo Mundo
MT0725000,PA CRISTALINO,NOVO MUNDO,"3.124,15",43,62,3,1,3,04/02/2005,Arrecadação,14/07/2000,Novo Mundo
MT0726000,PA CRISTALINO II,NOVO MUNDO,"2.188,94",41,43,6,1,4,04/02/2005,Arrecadação,14/04/2000,Novo Mundo
MT0727000,PA CRISTALINO - IV,NOVO MUNDO,"1.232,15",18,24,3,1,5,05/02/2005,Arrecadação,05/02/2005,Novo Mundo
MT0728000,PA 26 DE JANEIRO,PEDRA PRETA,"2.063,53",60,62,3,1,11,03/03/2005,Desapropriação,18/07/2003,Pedra Preta
MT0729000,PE VILA RURAL MANEQUINHO,CHAPADA DOS GUIMARAES,"52,8015",31,31,3,3,19,23/03/2005,Reconhecimento,23/03/2005,Chapada Dos Guimarães
MT0730000,PE VILA RURAL NOSSA SENHORA APARECIDA,ALTA FLORESTA,"49,9497",32,33,3,3,20,23/03/2005,Reconhecimento,23/03/2005,Alta Floresta
MT0731000,PA ANTONIO SOARES,PEIXOTO DE AZEVEDO,"7.790,83",94,95,3,1,38,25/05/2005,Arrecadação,25/05/2005,Peixoto De Azevedo
MT0732000,PA FURNAS,PEDRA PRETA,"1.826,44",50,62,3,1,33,28/05/2005,Arrecadação,28/05/2005,Pedra Preta
MT0733000,PA NOSSA SENHORA DE FÁTIMA,DENISE,"2.770,38",79,105,3,1,35,28/05/2005,Arrecadação,28/05/2005,Denise
MT0734000,PA PADRE JOSÉ TENCATE,SANTO AFONSO,"1.344,25",58,58,3,1,34,28/05/2005,Desapropriação,16/06/2003,Santo Afonso
MT0735000,PA UIRAPURU,PORTO ALEGRE DO NORTE,"4.123,97",65,67,6,1,37,28/05/2005,Arrecadação,28/05/2005,Porto Alegre Do Norte
MT0736000,PA LOURIVAL D´ABIC,VILA BELA DA SANTISSIMA TRINDADE,"1.210,00",36,36,3,1,36,28/05/2005,Confisco,28/05/2005,Vila Bela Da Santíssima Trindade
MT0737000,PA VIDA NOVA II,PEIXOTO DE AZEVEDO,"9.259,95",92,108,3,1,43,09/09/2005,Arrecadação,09/09/2005,Peixoto De Azevedo
MT0738000,PE ARINOS - ARARA AZUL,PORTO DOS GAUCHOS,"53,3499",25,27,4,3,45,09/09/2005,Reconhecimento,09/09/2005,Porto Dos Gaúchos
